"","location","time","text","likes","retweet","comment","tool"
"1","无","2019-04-25 20:19","[置顶]因询问者较多，统一回复：该活动共青团中央并未参与↓  原图 ",2475,656,732,"无"
"2","无","2019-04-25 22:31","这是从嫦娥四号中继星“鹊桥”上拍摄的月地合影。深邃的太空中，有两颗闪亮的星，仿佛你和我，携手同行。#2019中国航天日# 晚安  原图 ",1217,198,235,"vivo X27 4800万三摄"
"3","无","2019-04-25 21:21","【一周团团微博热榜：国风新时代，中国正少年】这一周，我们为在斯里兰卡遇难的同胞哀悼；这一周，我们在世界阅读日畅聊图书，挑选自己喜爱的书单；这一周，我们相聚南京，共享国风音乐之美；这一周，我们热情交流着在b站的学习经历……这是我们#青春的声音#  原图 ",684,104,123,"vivo X27 4800万三摄"
"4","无","2019-04-25 18:59","【硬核！中国卫星发送摩斯密码为海军庆生】为庆祝人民海军成立70周年，4月23日22点40分00秒至22点41分59秒，瓢虫一号卫星在太原上空用肉眼可见聚光灯阵闪烁发送了一串摩斯密码。天文爱好者们破解了这串密码——“加油人民海军”。网友：科学家浪漫起来还有我们什么事 @人民日报（来源/新华社 摄影/苏少杰）                  原图                             ",2673,813,323,"无"
"5","无","2019-04-25 17:49","【梦在前，无所惧！五四精神，等你传递  】你听，他们说我们是中建青年我们是祖国忠诚的儿女#五四精神传承有我#  共青团中央的微博视频  ",814,252,124,"360安全浏览器"
"6","无","2019-04-25 16:54","【梦在前，无所惧！五四精神，等你传递  】五四百年，激昂青春，传递正能量。无论你在那里，无论你是个人还是团体，无论是海报还是视频，我们都在这里等着你哦。#五四精神传承有我#  投稿邮箱看这里→xmtgzc@163.com @哔哩哔哩弹幕网 @西藏共青团 @广东共青团 @海航集团HNA @中国航空工业集团有限公司 @黑龙江共青团 @内蒙古科技大学团委 @雅安青年 @中建安装             [组图共9张]      原图                             ",637,176,107,"360安全浏览器"
"7","无","2019-04-25 15:40","【梦在前，无所惧！五四精神，等你传递  】你们用一身正气维护一方安宁，用责任担当捍卫国家尊严，用青春音符谱写动人乐章。都说岁月静好，皆因有你们负重前行。#五四精神传承有我#@平安包头 共青团中央的秒拍视频  ",597,187,100,"360安全浏览器"
"8","无","2019-04-25 14:59","【正直播 | 到西部奋斗，让青春出彩】2019年#西部计划#开始报名啦！西部计划是什么？我们能做哪些事？如何报名……2019年大学生志愿服务西部计划全国宣讲报告会正在@南开大学 进行↓↓转走这条微博！趁着青春，叫上朋友一起做有意义的事情吧 @共青团中央 的一直播  ",506,145,185,"一直播"
"9","无","2019-04-25 14:27","【转发祝贺！谢文骏夺男子110米栏冠军，破刘翔亚锦赛纪录】北京时间昨夜今晨，2019年亚洲田径锦标赛继续在卡塔尔进行。在男子110米栏决赛中，中国选手谢文骏以13秒21夺得冠军！打破了刘翔在2011年创下的13秒22赛会纪录，同时也是这个项目今年的世界最好成绩。http://t.cn/EaQLsgf  ",2103,332,280,"vivo X27 4800万三摄"
"10","无","2019-04-25 13:45","【危险！经过学校不顾学生阻拦，轿车竟顶着小学生强行通过】23日中午，河南邓州，一辆黑色轿车放学时间通过学校门口，不顾两名值日小学生阻拦，开车顶着学生强行前行。据@平安邓州 通报，驾驶员胡某扰乱学校周边公共场所秩序，情节严重，处以行政拘留五日的处罚。学校也应采取有效措施，保护学生安全。时间视频的秒拍视频                                 ",671,171,452,"vivo X27 4800万三摄"
"11","无","2019-04-25 12:13","【这场属于青春的快闪，即将拉开帷幕】由共青团中央社会联络部、中国舞蹈家协会主办，CHUC全国街舞联盟、相关省市团委承办，《这！就是街舞》栏目组支持的“跃动我青春·筑梦新时代”纪念五四运动100周年主题快闪活动，近日正式启动！青春心向党·建功新时代！向伟大祖国献礼！@中国舞蹈家协会街舞委员会 #跃动我青春筑梦新时代#                  原图                             ",2261,29455,750,"帅团的Android"
"12","无","2019-04-25 10:50","【梦在前，无所畏！五四精神，传承有我】不同的棱角折射不一样的光芒，不同的阶段散发不一样的荣耀。青春最好的姿态，就是拼搏努力，以青春的名义，为新时代建功立业。用#青春随手拍#，展现不一样的青春风采！  [组图共9张] 原图 ",1071,357,195,"无"
"13","无","2019-04-25 10:19","【走！到西部奋斗，让青春出彩】2019年#西部计划#开始报名啦！西部计划是什么？我们能做哪些事？如何报名……关于西部计划的一切，都将在今日下午15时的“2019年大学生志愿服务西部计划全国宣讲报告会”中为你揭晓，届时团团将通过微博同步直播。趁着青春，叫上朋友一起做有意义的事情吧  原图 ",761,247,264,"vivo X27 4800万三摄"
"14","无","2019-04-25 09:31","【王正汹：我将继续在追逐“人造太阳”的路上，一往无前】他从科技部国际磁约束核聚变重大专项的参与者，到项目首席科学家，再到担任项目责任专家，科研求索之路从未停歇。他玩命苦干，助力“中国人造太阳”领跑世界。王正汹，第21届#中国青年五四奖章#获得者，他把青春献给了祖国。学习！#百年五四#  [组图共9张] 原图 ",931,211,132,"无"
"15","无","2019-04-25 09:00","【让你更受欢迎的35个沟通技巧】①有欣赏竞争对手的雅量，不认同也要学会尊重；②避免打着对你好的名义，说伤害对方的话；③提出批评外，最好提供正面的改进建议；④不要总是否定别人，比如“不对吧，应该是……”“不是这样”；别人自嘲的时候不要附和。戳图了解↓↓@央视新闻  [组图共9张] 原图 ",836,597,152,"vivo X27 4800万三摄"
"16","无","2019-04-25 08:03","【青运史上的今天，毛泽东为“西北青年救国联合会一周年纪念特刊”题词】1938年4月，毛泽东为《新中华报》举办的“西北青年救国联合会一周年纪念特刊”题词：“青年是抗日战争的生力军，目前青年团体的任务是团结全国一切阶层的青年男女，大批的走上抗日战争的战场去，充实正规军的战斗力，发展广泛的游击战争。在后方的青年人，也是一切为着战争的胜利而工作。中国的解放主要依靠青年人。”#百年五四#                  原图                             ",926,365,152,"无"
"17","无","2019-04-25 05:53","【赞！武磊凌空斩收获个人西甲第二球】西甲第34轮，西班牙人在主场1-1战平塞尔塔。第33分钟，@武磊7 机警前插凌空扫射破门，帮助球队取得领先。漂亮的进球啊  [组图共2张] 原图 ",3414,587,623,"vivo X27 4800万三摄"
"18","无","2019-04-24 22:15","转发理由:溜溜球、竹蜻蜓……还记得小时候的模样吗？戳[下]参与#青春随手拍#故事挑战，展现你青春的模样//@重庆共青团:暴露年龄系列，你都玩过吗？  
原始用户: 锦钧-
转发内容: #青春随手拍# 童年记忆里的玩具，你玩过几个？真的怀念我美好的童年呀@微博故事   微博视频 #青春随手拍#  ",1031,365,239,"无"
"19","无","2019-04-24 22:09","转发理由:恭喜@恰一杯猪事顺利茶 等20名用户获得【团团定制笔记本】, @西南医科大学17级临床19班官微 等20名用户获得【团团定制签名笔】。公示链接： 微博抽奖平台 @微博抽奖平台 今晚的抽奖结束了，没中奖的小伙伴可以继续转发原博，明儿个继续抽奖哟~  
原始用户: 共青团中央
转发内容: 【青春随手拍，展现不一样的青春风采】你认为青春应具备什么样的气质？你可以拍下“不一样的青春”对比照片，也可以参与故事挑战展现“青春的模样”，还可以通过“这就是青春”主题vlog记录自己的青春足迹。带话题#青春随手拍#即可参与活动，戳[下]快分享给小伙伴们吧！带话题转发，海量福利等你来拿～  原图 ",329,34,49,"微博抽奖平台"
"20","无","2019-04-24 21:44","转发理由:恭喜@楼兰遗梦的大红围脖 等40名用户获得【图书1本（随机）】。仍然没被抽中的小伙伴不要灰心，稍后还有一组奖品等你来拿 公示链接：微博抽奖平台 @微博抽奖平台  
原始用户: 共青团中央
转发内容: 【读书，为了遇见更好的自己】腹有诗书气自华。书籍，是文化的重要载体；读书，是承继文化的重要方式。今天是世界读书日（4月23日），给你推荐一份书单。转发随机抽40本，趁着春光大好，小伙伴们读起来↓↓ #青年悦读# @微博抽奖平台  [组图共9张] 原图 ",340,68,70,"微博抽奖平台"
"21","无","2019-04-24 21:28","转发理由:恭喜@就这样继续元气满满的爱着你 等40名用户获得【图书1本（随机）】。没获得图书的小伙伴不要气馁，马上还会再抽出一组图书哟~ 公示链接： 微博抽奖平台 @微博抽奖平台  
原始用户: 共青团中央
转发内容: 【你在读书上花的任何时间，都会在某个时刻给你回报】“读书可以让人保持思想活力，让人得到智慧启发，让人滋养浩然之气。”在这个春天，选择一本适合自己的书，不必追求速度，细细去品味。4月23日是世界读书日，给你推荐一份书单。转发随机抽40本，小伙伴们读起来↓↓ #青年悦读# @微博抽奖平台  [组图共9张] 原图 ",279,62,67,"微博抽奖平台"
"22","无","2019-04-24 20:44","#百年五四#【梦在前，无所惧！五四精神，传承有我】青春的底色是爱国，青春的支点是奋斗。新时代，我们都在努力奔跑，我们都是追梦人。让我们用奋斗，为青春点亮一束光。用#青春随手拍#，展现不一样的青春风采！@津彩青春 @共青团广安市委  [组图共9张] 原图 ",1095,253,139,"无"
"23","无","2019-04-24 19:32","【可上九天揽月！这有一个参与太空项目的机会等着你哟～】2022年前后，我国载人空间站将完成建造，支持开展大规模多学科的空间科学研究、技术验证和空间应用。本次特向国内公开征集空间站在轨科学实验和技术试验项目。详戳↓↓@载人航天小喇叭  公告 | 中国空间站科学实验和技术试验项目征集公告  ",614,124,86,"vivo X27 4800万三摄"
"24","无","2019-04-24 18:36","【一定要点开↓↓他们竟把赵云、孙悟空、哪吒打印出来了】英俊潇洒的赵云、怒目圆睁的张飞、萌萌吐舌的瑞兽，这些栩栩如生的雕塑，都是用画笔、电脑和打印机完成的。他们说，希望这些作品能带动更多人去了解中国的传统文化。网友：3秒我要看到购买地址！#中国好青年# 共青团中央的微博视频  ",965,670,197,"vivo X27 4800万三摄"
"25","无","2019-04-24 17:31","【梦在前，无所惧！五四精神，等你传递  】心怀梦想，才能披荆斩棘；一往无前，定能逐梦青春。#五四精神传承有我#  和我们一起做新时代青年。无论你是个人还是团体，无论是海报还是视频，我们都在这里等着你哦。（xmtgzc@163.com）@青春临沂 @天津医科大学团委 @重庆共青团 @福建农林大学团委              [组图共9张]      原图                             ",544,192,96,"微博 weibo.com"
"26","无","2019-04-24 16:29","【震撼！百色版快闪《我和我的祖国》上线啦】百色起义影响着一代又一代百色人民，百色起义精神一直根植于各族人民心中。百折不挠、实事求是、依靠群众、团结奋斗，百色革命老区唱响《我和我的祖国 》！转发，祝福祖国！ 共青团中央的微博视频  ",961,393,191,"微博云剪"
"27","无","2019-04-24 15:24","【梦在前，无所惧！五四精神，等你传递  】青年兴则国家兴，青年强则国家强。#五四精神传承有我#喀什青年说，我们要坚定理想信念，做敢于有梦、勇于追梦、勤于圆梦的新时代青年。@青春喀什共青团中央的微博视频  ",836,284,135,"微博 weibo.com"
"28","无","2019-04-24 14:37","【华服诗韵快来pick！国风版“我和我的祖国”】春风拂柳绿，经典咏流传。航空工业金城的青年们，身着古装，拾级而下，漫步在江苏南京金城511广场时光步道。古筝悠悠，衣袂飘飘，国风少年同唱《我和我的祖国》，为新中国成立70周年送上最清新的祝福！#百年五四##青春随手拍#江苏共青团的微博视频  ",1065,268,172,"vivo X27 4800万三摄"
"29","无","2019-04-24 13:29","【梦在前，无所惧！五四精神，传承有我！】青春，浓缩了酸甜和苦辣，记录了我们的成长。新时代，我们都在努力奔跑；新时代，我们都是追梦人!让我们用奋斗，为青春点亮一束光；用#青春随手拍#，展现不一样的青春风采！@东软青年  [组图共9张] 原图 ",1866,368,194,"无"
"30","无","2019-04-24 12:56","【詹天佑：镜以淬而日明，钢以炼而益坚】他是“中国铁路之父”，主持修建了首条真正由中国人建造的铁路——京张铁路，铺就了一条中国人夺回路权的光荣之路。他说：“各出所学，各尽所能，使国家富强不受外侮，以自立于地球之上。”一百年前的今天，詹天佑逝世，缅怀！#百年五四#（图/@山东共青团）  [组图共9张] 原图 ",1157,265,113,"微博 weibo.com"
"31","无","2019-04-24 12:07","【梦在前，无所惧！五四精神，等你传递  】天山脚下、塔里木河畔、塔克拉玛干沙漠，祖国西北边疆的每一个角落，你们有警必出、闻警必动，你们逆火前行、救民水火。有了你们，我们很安心 #五四精神传承有我# @阿克苏消防共青团中央的微博视频  ",846,266,109,"iPhone客户端"
"32","无","2019-04-24 11:20","【祝贺！多哈亚锦赛中国队夺女子4x100米接力冠军】北京时间今天凌晨，2019年亚洲田径锦标赛，在女子4x100米接力决赛中，由梁小静、韦永丽、孔令微、葛曼棋组成的中国队发挥出色，跑出42秒87夺得冠军！也创造了这个项目的今年世界最好成绩！回放：田径亚锦赛女子4x100米接力决赛 中国队42.87秒夺冠  ",2139,311,258,"vivo X27 4800万三摄"
